word,word type,word list,school code,total features,total features 2,subject list,average,average2
bride,noun,wl5 and wl 9,1,1441,1440,112,12.86607143,12.85714286
brigade,noun,wl1,1,587,516,58,10.12068966,8.896551724
bright,adjective,wl1,1,233,235,58,4.017241379,4.051724138
broken,adjective,wl5,1,584,358,112,5.214285714,3.196428571
brothers,noun,wl7,1,847,420,63,13.44444444,6.666666667
brown,adjective,wl7,1,352,350,63,5.587301587,5.555555556
bum,noun,wl1,1,346,354,58,5.965517241,6.103448276
bumps,noun,wl2,1,287,281,59,4.86440678,4.762711864
bumpy,adjective,wl5,1,289,293,112,2.580357143,2.616071429
buoy,verb,wl3,1,901,908,50,18.02,18.16
burlesque,adjective,wl5,1,304,301,112,2.714285714,2.6875
burned,verb,wl1,1,717,716,58,12.36206897,12.34482759
bush,noun,wl9,1,1147,639,177,6.480225989,3.610169492
busy,adjective,wl5,1,856,563,112,7.642857143,5.026785714
cab,noun,wl10,1,1378,1387,98,14.06122449,14.15306122
calm,adjective,wl2,1,425,342,59,7.203389831,5.796610169
calories,noun,wl9,1,535,533,177,3.02259887,3.011299435
camera,noun,wl9,1,955,955,177,5.395480226,5.395480226
can,verb,wl7,1,1026,476,63,16.28571429,7.555555556
capability,noun,wl4,1,762,768,59,12.91525424,13.01694915
careful,adjective,wl2,1,686,692,59,11.62711864,11.72881356
caring,verb,wl2,1,1118,1068,59,18.94915254,18.10169492
castle,noun,wl2,1,964,971,59,16.33898305,16.45762712
casual,adjective,wl9,1,402,404,177,2.271186441,2.282485876
cautious,adjective,wl10,1,853,854,98,8.704081633,8.714285714
center,noun,wl1,1,514,405,58,8.862068966,6.982758621
chalk,noun,wl6,1,680,341,68,10,5.014705882
change,noun,wl8,1,1773,444,53,33.45283019,8.377358491
characteristic,adjective,wl6,1,663,457,68,9.75,6.720588235
charm,noun,wl1 and 9,1,376,376,58,6.482758621,6.482758621
check,noun,wl2,1,1246,1224,59,21.11864407,20.74576271
checking,verb,wl1,1,405,401,58,6.982758621,6.913793103
chest,noun,wl5,1,856,595,112,7.642857143,5.3125
chip,noun,wl2,1,963,932,59,16.3220339,15.79661017
choice,noun,wl8,1,672,676,53,12.67924528,12.75471698
christmas,noun,wl5,1,1395,1386,112,12.45535714,12.375
church,noun,old words,1,516,518,60,8.6,8.633333333
city,noun,wl2,1,927,736,59,15.71186441,12.47457627
class,noun,wl4,1,1029,1007,59,17.44067797,17.06779661
clear,adjective,wl4,1,536,440,59,9.084745763,7.457627119
cliff,noun,wl6,1,1459,1461,68,21.45588235,21.48529412
clipper,noun,wl2 and 6,1,380,382,59,6.440677966,6.474576271
closed,adjective,wl9,1,507,512,177,2.86440678,2.892655367
clothes,noun,wl1,1,1402,1412,58,24.17241379,24.34482759
coat,noun,wl1,1,417,414,58,7.189655172,7.137931034
cocaine,noun,wl2,1,1145,1154,59,19.40677966,19.55932203
coffee,noun,wl4,1,1230,1218,59,20.84745763,20.6440678
collar,noun,wl6,1,1142,1139,68,16.79411765,16.75
collect,verb,wl8,1,362,359,53,6.830188679,6.773584906
cologne,noun,wl7,1,646,495,63,10.25396825,7.857142857
color,noun,wl2,1,1089,732,59,18.45762712,12.40677966
communist,noun,wl3,1,605,607,50,12.1,12.14
company,noun,wl7,1,676,568,63,10.73015873,9.015873016
compassionate,adjective,wl1,1,331,334,58,5.706896552,5.75862069
components,noun,wl6,1,230,228,68,3.382352941,3.352941176
conceited,adjective,wl5,1,573,594,112,5.116071429,5.303571429
concern,noun,wl9,1,600,600,177,3.389830508,3.389830508
condom,noun,wl10,1,744,719,98,7.591836735,7.336734694
conference,noun,wl9,1,576,578,177,3.254237288,3.265536723
confess,verb,wl5,1,987,989,112,8.8125,8.830357143
congress,noun,wl1,1,1188,1177,58,20.48275862,20.29310345
conservative,adjective,wl6,1,682,596,68,10.02941176,8.764705882
construction,noun,wl5,1,462,460,112,4.125,4.107142857
consume,verb,wl2,1,747,743,59,12.66101695,12.59322034
contacts,noun,wl8,1,431,429,53,8.132075472,8.094339623
control,noun,wl1,1,457,411,58,7.879310345,7.086206897
cook,noun,wl1,1,425,427,58,7.327586207,7.362068966
coral,adjective,wl3,1,559,518,50,11.18,10.36
cotton,noun,old norms,1,787,785,60,13.11666667,13.08333333
cracker,noun,wl1,1,1892,299,58,32.62068966,5.155172414
crackers,noun,wl1,1,415,411,58,7.155172414,7.086206897
crafts,noun,wl3,1,276,277,50,5.52,5.54
craggy,adjective,wl9,1,216,214,177,1.220338983,1.209039548
create,verb,wl1,1,892,886,58,15.37931034,15.27586207
creator,noun,wl7,1,599,461,63,9.507936508,7.317460317
crescent,noun,wl8,1,425,422,53,8.018867925,7.962264151
criminal,adjective,wl2,1,731,742,59,12.38983051,12.57627119
critical,adjective,wl1 and 8,1,289,292,58,4.982758621,5.034482759
crooked,adjective,wl1,1,223,489,58,3.844827586,8.431034483
crowd,noun,wl1,1,744,628,58,12.82758621,10.82758621
cruel,adjective,wl1,1,293,294,58,5.051724138,5.068965517
cuddle,noun,wl2,1,629,475,59,10.66101695,8.050847458
cue,noun,wl5,1,421,425,112,3.758928571,3.794642857
cultural,adjective,wl1,1,688,693,58,11.86206897,11.94827586
cure,noun,wl1,1,711,707,58,12.25862069,12.18965517
cushion,noun,wl6,1,626,627,68,9.205882353,9.220588235
cute,adjective,wl6,1,239,241,68,3.514705882,3.544117647
daily,adjective,wl3,1,668,675,50,13.36,13.5
dancer,noun,wl1,1,566,554,58,9.75862069,9.551724138
day,noun,wl6,1,867,868,68,12.75,12.76470588
daytime,adjective,wl1,1,440,443,58,7.586206897,7.637931034
deadly,adjective,wl3,1,243,243,50,4.86,4.86
defense,noun,wl4,1,796,777,59,13.49152542,13.16949153
definition,noun,wl1,1,859,863,58,14.81034483,14.87931034
definitive,adjective,wl1,1,245,242,58,4.224137931,4.172413793
desert,noun,wl6,1,583,551,68,8.573529412,8.102941176
dessert,noun,wl6,1,419,420,68,6.161764706,6.176470588
diamond,noun,wl4,1,796,804,59,13.49152542,13.62711864
dictate,verb,wl10,1,376,378,98,3.836734694,3.857142857
dictionary,noun,wl2,1,607,561,59,10.28813559,9.508474576
die,verb,wl1,1,549,552,58,9.465517241,9.517241379
different,adjective,wl8,1,411,411,53,7.754716981,7.754716981
dinosaur,noun,wl5,1,1074,1071,112,9.589285714,9.5625
disappear,verb,wl6,1,409,405,68,6.014705882,5.955882353
disc,noun,wl2,1,751,766,59,12.72881356,12.98305085
dish,noun,wl4,1,1018,1006,59,17.25423729,17.05084746
dishes,noun,wl3,1,1849,1842,50,36.98,36.84
dishonest,adjective,wl3,1,282,285,50,5.64,5.7
doctor,noun,wl10,1,1127,1144,98,11.5,11.67346939
doll,noun,wl2,1,558,558,59,9.457627119,9.457627119
dollars,noun,wl3,1,354,355,50,7.08,7.1
dolphin,noun,wl6,1,577,578,68,8.485294118,8.5
doughnut,noun,wl1,1,935,442,58,16.12068966,7.620689655
driver,noun,wl8,1,959,628,53,18.09433962,11.8490566
driving,verb,wl9,1,1008,1020,177,5.694915254,5.762711864
drunk,adjective,wl10,1,887,891,98,9.051020408,9.091836735
dry,adjective,wl9,1,924,896,177,5.220338983,5.062146893
dumb,adjective,wl4 and 8,1,889,888,59,15.06779661,15.05084746
duty,noun,wl6,1,1302,711,68,19.14705882,10.45588235
easy,adjective,wl5,1,680,558,112,6.071428571,4.982142857
eat,noun,wl7,1,392,389,63,6.222222222,6.174603175
eleven,other,wl4,1,1044,436,59,17.69491525,7.389830508
embarrass,verb,wl10,1,918,923,98,9.367346939,9.418367347
emboss,verb,wl6,1,280,280,68,4.117647059,4.117647059
emote,verb,wl8,1,255,227,53,4.811320755,4.283018868
empire,noun,wl10,1,328,324,98,3.346938776,3.306122449
ending,noun,wl6,1,859,855,68,12.63235294,12.57352941
enlarge,verb,wl9,1,855,857,177,4.830508475,4.84180791
enough,adjective,wl9,1,497,458,177,2.807909605,2.587570621
environment,noun,wl4,1,914,914,59,15.49152542,15.49152542
erupt,verb,wl6,1,1062,1056,68,15.61764706,15.52941176
exact,adjective,wl1 and 8,1,2028,564,58,34.96551724,9.724137931
excuse,noun,wl5,1,850,858,112,7.589285714,7.660714286
exercise,noun,wl4,1,855,876,59,14.49152542,14.84745763
extinct,adjective,wl4,1,737,730,59,12.49152542,12.37288136
extrovert,noun,wl2,1,617,609,59,10.45762712,10.3220339
exultation,noun,wl7,1,341,343,63,5.412698413,5.444444444
eyeliner,noun,wl5,1,420,421,112,3.75,3.758928571
faith,noun,wl9,1,280,280,177,1.581920904,1.581920904
fake,adjective,wl3,1,758,759,50,15.16,15.18
fat,adjective,wl5,1,697,608,112,6.223214286,5.428571429
fear,noun,wl10,1,1022,1029,98,10.42857143,10.5
feeling,noun,wl5,1,1204,1192,112,10.75,10.64285714
female,adjective,wl6,1,367,363,68,5.397058824,5.338235294
fiction,noun,wl4,1,514,479,59,8.711864407,8.118644068
fight,noun,wl10,1,978,974,98,9.979591837,9.93877551
fighter,noun,wl5,1,368,368,112,3.285714286,3.285714286
film,noun,wl7,1,471,462,63,7.476190476,7.333333333
finalize,verb,wl10,1,729,727,98,7.43877551,7.418367347
financial,adjective,old norms,1,328,329,60,5.466666667,5.483333333
fishing,noun,wl3,1,724,611,50,14.48,12.22
flag,noun,wl7,1,1143,1145,63,18.14285714,18.17460317
flakes,noun,wl8,1,1225,1174,53,23.11320755,22.1509434
float,verb,wl6,1,822,823,68,12.08823529,12.10294118
fog,noun,wl6,1,389,390,68,5.720588235,5.735294118
foot,noun,wl8,1,658,588,53,12.41509434,11.09433962
for,other,wl2,1,657,595,59,11.13559322,10.08474576
forever,other,old words,1,910,912,60,15.16666667,15.2
forgive,verb,wl1,1,609,562,58,10.5,9.689655172
forward,adjective,wl3,1,614,603,50,12.28,12.06
four,other,wl10,1,329,324,98,3.357142857,3.306122449
fraternity,noun,wl6,1,330,332,68,4.852941176,4.882352941
freedom,noun,wl4,1,346,346,59,5.86440678,5.86440678
fries,noun,wl9,1,539,506,177,3.04519774,2.858757062
front,noun,wl10,1,458,420,98,4.673469388,4.285714286
fungus,noun,wl3,1,1025,1024,50,20.5,20.48
furnish,verb,wl7,1,349,350,63,5.53968254,5.555555556
gander,noun,wl9,1,619,619,177,3.497175141,3.497175141
garbage,noun,old norms,1,1376,1326,70,19.65714286,18.94285714
garden,noun,wl9,1,1209,1204,177,6.830508475,6.802259887
geek,adjective,wl1,1,796,810,58,13.72413793,13.96551724
geometry,noun,wl7,1,603,607,63,9.571428571,9.634920635
girl,noun,wl10,1,873,882,98,8.908163265,9
girlfriend,noun,wl2,1,846,854,59,14.33898305,14.47457627
glasses,noun,wl10,1,479,479,98,4.887755102,4.887755102
glory,noun,wl9,1,618,598,177,3.491525424,3.378531073
glue,noun,wl7,1,998,989,63,15.84126984,15.6984127
good,adjective,wl8,1,285,283,53,5.377358491,5.339622642
grasp,verb,wl3,1,870,852,50,17.4,17.04
gratuity,noun,wl7,1,254,251,63,4.031746032,3.984126984
group,noun,wl2,1,1015,995,59,17.20338983,16.86440678
hamburger,noun,wl5,1,868,666,112,7.75,5.946428571
hammer,noun,wl7,1,3036,3024,63,48.19047619,48
handrail,noun,wl2,1,543,541,59,9.203389831,9.169491525
hands,noun,wl4,1,748,706,59,12.6779661,11.96610169
handsomely,other,wl3,1,281,282,50,5.62,5.64
hear,verb,wl4,1,256,259,59,4.338983051,4.389830508
heartbroken,adjective,wl6,1,431,431,68,6.338235294,6.338235294
heat,noun,wl6,1,1087,1081,68,15.98529412,15.89705882
heaven,noun,wl5,1,533,537,112,4.758928571,4.794642857
help,verb,wl4,1,854,852,59,14.47457627,14.44067797
highway,noun,wl7,1,579,565,63,9.19047619,8.968253968
hill,noun,wl9,1,655,652,177,3.700564972,3.683615819
hip,noun,wl7,1,692,660,63,10.98412698,10.47619048
hitchhike,verb,wl8,1,533,535,53,10.05660377,10.09433962
hog,noun,wl9,1,940,947,177,5.310734463,5.350282486
hospital,noun,wl2,1,864,800,59,14.6440678,13.55932203
hound,noun,old norms,1,857,833,60,14.28333333,13.88333333
hundred,other,old norms &wl18b,1,579,509,60,9.65,8.483333333
hurry,noun,wl9,1,914,913,177,5.163841808,5.15819209
hurt,verb,wl3,1,385,384,50,7.7,7.68
husband,noun,wl4,1,1034,1032,59,17.52542373,17.49152542
ice,noun,wl3,1,1075,1052,50,21.5,21.04
idiot,adjective,wl8,1,772,617,53,14.56603774,11.64150943
illegal,adjective,wl5,1,476,452,112,4.25,4.035714286
in,other,wl4,1,1057,513,59,17.91525424,8.694915254
independent,adjective,wl5,1,763,801,112,6.8125,7.151785714
indian,noun,wl7,1,740,623,63,11.74603175,9.888888889
indoor,adjective,wl2,1,413,411,59,7,6.966101695
insane,adjective,wl4,1,1213,1213,59,20.55932203,20.55932203
instrument,noun,wl3,1,513,513,50,10.26,10.26
insurance,noun,wl5,1,490,481,112,4.375,4.294642857
irritating,adjective,wl10,1,401,389,98,4.091836735,3.969387755
itch,noun,wl6,1,288,288,68,4.235294118,4.235294118
jail,noun,wl5,1,1267,1269,112,11.3125,11.33035714
jelly,noun,wl7,1,827,834,63,13.12698413,13.23809524
jesus,noun,wl8,1,454,460,53,8.566037736,8.679245283
jewel,noun,wl3,1,431,431,50,8.62,8.62
jogger,noun,wl8,1,514,503,53,9.698113208,9.490566038
joke,noun,wl1,1,338,336,58,5.827586207,5.793103448
journey,noun,wl8,1,317,322,53,5.981132075,6.075471698
joyous,adjective,wl5,1,202,202,112,1.803571429,1.803571429
judge,noun,wl5,1,431,426,112,3.848214286,3.803571429
ketchup,noun,wl2,1,973,717,59,16.49152542,12.15254237
knit,verb,wl8,1,674,677,53,12.71698113,12.77358491
know,verb,wl3,1,788,775,50,15.76,15.5
knowledge,noun,wl10,1,344,345,98,3.510204082,3.520408163
land,noun,wl4,1,846,821,59,14.33898305,13.91525424
law,noun,wl8,1,361,358,53,6.811320755,6.754716981
leader,noun,wl7,1,874,868,63,13.87301587,13.77777778
leap,noun,wl9,1,327,320,177,1.847457627,1.807909605
leaves,noun,wl6,1,409,411,68,6.014705882,6.044117647
letter,noun,old norms,1,799,775,60,13.31666667,12.91666667
liberty,noun,wl5,1,284,279,112,2.535714286,2.491071429
lie,verb,wl7,1,710,699,63,11.26984127,11.0952381
listen,verb,wl4,1,622,619,59,10.54237288,10.49152542
live,verb,wl5,1,382,380,112,3.410714286,3.392857143
load,noun,wl3,1,561,539,50,11.22,10.78
lock,noun,wl3,1,784,778,50,15.68,15.56
locus,noun,wl8,1,353,351,53,6.660377358,6.622641509
lode,noun,wl3,1,237,234,50,4.74,4.68
lose,verb,wl10,1,675,683,98,6.887755102,6.969387755
loud,adjective,wl5,1,567,573,112,5.0625,5.116071429
luggage,noun,wl7,1,1328,1338,63,21.07936508,21.23809524
make,verb,wl10,1,254,247,98,2.591836735,2.520408163
maker,noun,wl6,1,585,499,68,8.602941176,7.338235294
mall,noun,wl6,1,414,414,68,6.088235294,6.088235294
man,noun,wl7,1,991,982,63,15.73015873,15.58730159
manager,noun,wl5,1,345,349,112,3.080357143,3.116071429
many,adjective,wl4,1,396,370,59,6.711864407,6.271186441
math,noun,wl8,1,411,404,53,7.754716981,7.622641509
mean,noun,wl10,1,927,927,98,9.459183673,9.459183673
meat,noun,wl1,1,548,546,58,9.448275862,9.413793103
meeting,noun,wl6,1,825,831,68,12.13235294,12.22058824
mile,noun,wl3,1,782,778,50,15.64,15.56
milk,noun,wl3,1,994,987,50,19.88,19.74
mom,noun,wl7,1,720,682,63,11.42857143,10.82539683
money,noun,wl8,1,468,471,53,8.830188679,8.886792453
monk,noun,wl5,1,365,360,112,3.258928571,3.214285714
mother,noun,wl2,1,636,590,59,10.77966102,10
muscle,noun,wl4,1,445,443,59,7.542372881,7.508474576
musk,noun,wl7,1,269,268,63,4.26984127,4.253968254
mystical,adjective,wl1,1,333,331,58,5.74137931,5.706896552
name,noun,wl3,1,739,601,50,14.78,12.02
necklace,noun,wl8,1,335,338,53,6.320754717,6.377358491
need,noun,wl1,1,592,597,58,10.20689655,10.29310345
needy,adjective,wl4,1,227,230,59,3.847457627,3.898305085
negligent,adjective,wl9,1,415,420,177,2.344632768,2.372881356
neighborhood,noun,wl7,1,824,830,63,13.07936508,13.17460317
nephew,noun,wl1 and wl9,1,919,940,58,15.84482759,16.20689655
neuron,noun,wl9,1,562,568,177,3.175141243,3.209039548
new,adjective,wl8,1,1159,370,53,21.86792453,6.981132075
newspaper,noun,wl7,1,509,513,63,8.079365079,8.142857143
next,adjective,wl6,1,365,361,68,5.367647059,5.308823529
nice,adjective,wl8,1,379,332,53,7.150943396,6.264150943
nickname,noun,wl7,1,450,456,63,7.142857143,7.238095238
night,noun,wl9,1,412,411,177,2.327683616,2.322033898
now,other,wl1,1,686,686,58,11.82758621,11.82758621
nun,noun,wl8,1,1076,1085,53,20.30188679,20.47169811
nurse,noun,wl3,1,449,452,50,8.98,9.04
nut,noun,wl4,1,436,380,59,7.389830508,6.440677966
obsession,noun,wl2,1,753,772,59,12.76271186,13.08474576
odd,adjective,wl9,1,584,506,177,3.299435028,2.858757062
off,other,wl3,1,588,491,50,11.76,9.82
offensive,adjective,wl5,1,289,291,112,2.580357143,2.598214286
okay,adjective,wl6,1,421,382,68,6.191176471,5.617647059
old,adjective,wl7,1,305,307,63,4.841269841,4.873015873
olympics,noun,wl9,1,578,579,177,3.265536723,3.271186441
opening,noun,wl4,1,322,314,59,5.457627119,5.322033898
ordeal,noun,wl8,1,291,291,53,5.490566038,5.490566038
order,noun,wl9,1,1865,560,177,10.53672316,3.163841808
organize,verb,wl5,1,348,349,112,3.107142857,3.116071429
out,adjective,wl2,1,972,956,59,16.47457627,16.20338983
outrageous,adjective,wl7,1,311,312,63,4.936507937,4.952380952
oven,noun,wl3,1,1396,1403,50,27.92,28.06
pain,noun,wl10,1,754,754,98,7.693877551,7.693877551
painting,noun,wl5,1,423,423,112,3.776785714,3.776785714
park,noun,wl3,1,883,882,50,17.66,17.64
pass,verb,wl9,1,1011,975,177,5.711864407,5.508474576
path,noun,wl10,1,1236,1219,98,12.6122449,12.43877551
patience,noun,wl7,1,278,278,63,4.412698413,4.412698413
patriot,noun,wl3,1,501,505,50,10.02,10.1
payload,noun,wl8,1,323,324,53,6.094339623,6.113207547
peace,noun,wl7,1,648,636,63,10.28571429,10.0952381
peak,noun,wl6,1,266,265,68,3.911764706,3.897058824
peanut,noun,wl7,1,509,490,63,8.079365079,7.777777778
pen,noun,wl3,1,431,430,50,8.62,8.6
personality,noun,wl4,1,334,335,59,5.661016949,5.677966102
pilot,noun,wl7,1,938,947,63,14.88888889,15.03174603
pimple,noun,wl3,1,1042,1051,50,20.84,21.02
pinwheel,noun,wl9,1,400,395,177,2.259887006,2.231638418
pledge,noun,wl6,1,1260,471,68,18.52941176,6.926470588
plug,noun,wl5,1,818,813,112,7.303571429,7.258928571
politics,noun,wl4,1,816,829,59,13.83050847,14.05084746
pound,noun,wl2,1,1024,1021,59,17.3559322,17.30508475
power,noun,wl3,1,761,738,50,15.22,14.76
prejudice,noun,wl8,1,724,718,53,13.66037736,13.54716981
present,adjective,wl3,1,337,339,50,6.74,6.78
president,noun,wl4,1,400,405,59,6.779661017,6.86440678
presumption,noun,wl2,1,271,266,59,4.593220339,4.508474576
pretty,adjective,wl1,1,320,317,58,5.517241379,5.465517241
pride,noun,wl7,1,825,836,63,13.0952381,13.26984127
priest,noun,wl9,1,835,853,177,4.717514124,4.81920904
print,noun,wl9,1,347,348,177,1.960451977,1.966101695
private,adjective,wl5,1,823,517,112,7.348214286,4.616071429
prom,noun,wl5,1,1132,1163,112,10.10714286,10.38392857
proof,noun,wl5,1,846,530,112,7.553571429,4.732142857
property,noun,wl4,1,333,331,59,5.644067797,5.610169492
protect,verb,wl7,1,942,934,63,14.95238095,14.82539683
public,adjective,wl6,1,684,563,68,10.05882353,8.279411765
pudding,noun,wl10,1,797,803,98,8.132653061,8.193877551
punishment,noun,wl8,1,1237,1243,53,23.33962264,23.45283019
purpose,noun,wl8,1,240,240,53,4.528301887,4.528301887
push,verb,wl8,1,316,314,53,5.962264151,5.924528302
pyramid,noun,wl9,1,321,320,177,1.813559322,1.807909605
quart,noun,wl10,1,883,881,98,9.010204082,8.989795918
questions,noun,wl10,1,842,575,98,8.591836735,5.867346939
rare,adjective,wl7,1,292,301,63,4.634920635,4.777777778
reaction,noun,wl9,1,704,705,177,3.97740113,3.983050847
real,adjective,wl6,1,871,862,68,12.80882353,12.67647059
reasonable,adjective,wl5,1,266,265,112,2.375,2.366071429
red,adjective,wl8,1,758,639,53,14.30188679,12.05660377
refrigerator,noun,wl8,1,353,356,53,6.660377358,6.716981132
relative,adjective,wl2,1,1069,1066,59,18.11864407,18.06779661
remember,verb,wl3,1,616,618,50,12.32,12.36
republican,adjective,wl7,1,799,480,63,12.68253968,7.619047619
restaurant,noun,wl4,1,595,574,59,10.08474576,9.728813559
retain,verb,wl6,1,340,339,68,5,4.985294118
retrograde,adjective,wl3,1,237,229,50,4.74,4.58
ribs,noun,wl2,1,1586,1570,59,26.88135593,26.61016949
rich,adjective,wl5,1,457,463,112,4.080357143,4.133928571
rights,noun,wl9,1,723,712,177,4.084745763,4.02259887
ring,noun,wl4,1,872,863,59,14.77966102,14.62711864
rivalry,noun,wl10,1,312,310,98,3.183673469,3.163265306
robbery,noun,wl5,1,757,757,112,6.758928571,6.758928571
robust,adjective,wl10,1,546,539,98,5.571428571,5.5
rogue,adjective,wl6,1,295,298,68,4.338235294,4.382352941
rubberneck,verb,wl4,1,360,357,59,6.101694915,6.050847458
rule,noun,wl9,1,1047,1044,177,5.915254237,5.898305085
santa,noun,wl5,1,1173,1169,112,10.47321429,10.4375
sassafras,noun,wl4,1,313,314,59,5.305084746,5.322033898
satin,noun,wl9,1,930,926,177,5.254237288,5.231638418
sawhorse,noun,wl4,1,347,339,59,5.881355932,5.745762712
scandalous,adjective,wl7,1,346,346,63,5.492063492,5.492063492
