Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5,Approve,Reject
Sapphire,"gem, sparkles, valuable, found in jewelry, blue",Nerves,"found in the body, react to touch, promote feelings from touch",Orchid,"flower, exotic, perfume-like smell, tropical",Nauseous,"ill, sick, vomit, distateful",Agree,"concur, have similar feeling or thought, consent",,
Sapphire,"gem stone, light blue, often used in jewelry,",Nerves,"what you feel when you are anxious or angry, someone can ""get on your nerves"" meaning they are annoying, often relate to being upset in some way",Orchid,"flower, reminiscent of springtime, light colors, plant",Nauseous,"sick, stomach feels queasy, about to throw up, could be car sick, drunk, eaten bad food, or nervous.",Agree,"say yes to something, have a same opinion,",,
Spin,"washer, dryer,",Synopsis,"summary, book",Oligarchy,n/a,Breakable,"glass, valuable",Keyboard,"music, computer",,
Spin,"turning in a circle, rotate, a person's view of a story,",Synopsis,"a summary, the short version of an occurance, the description on a bookjacket",Oligarchy,"type of government, rule by a small group of people, strict control",Breakable,"something that can be made unusable, fragile, an item that can be shattered or destroyed",Keyboard,"a musical instrument, part of a piano or organ. can be made of ivory, used in bands",,
Spin,"turn, circle, something tires can do, something politicians do",Synopsis,"briefly, a summary, a short version, an outline",Oligarchy,"small group of leaders, people who rule government, self serving rulers",Breakable,"can be destroyed, vulnerable, destructible, can be made of glass, weak",Keyboard,"contains the alphabet, contains numbers, a typewriter, an instrument, a piano, something you type on, part of a laptop, can be attached to a computer",,
Spin,"turn, rotate, move round and round",Synopsis,"brief, surmise, paraphrase",Oligarchy,"hierarchy, class, government",Breakable,"fragile, crystal, handle with care",Keyboard,"typing, piano, use with fingers",,
Spin,"turn in circles, an exercise class, to turn around and around,",Synopsis,"summary, a brief description of events that happened",Oligarchy,unknown,Breakable,"not sturdy, not shatter resistent",Keyboard,"something you type on, has keys, needed to use a computer",,
Spin,"circles, around, fast,",Synopsis,"summary, movie",Oligarchy,"politics, one man",Breakable,"glass, ceramic, clay,",Keyboard,"computer, letters, typing, internet",,
Spin,"turn, type of movement, washing machine cycle, dizziness",Synopsis,"summary, written synthesis, conclusion",Oligarchy,"control, Rome, power, government",Breakable,"smashed, fragile, easily broken, take care with",Keyboard,"piano, something to play, ivory, instrument",,
Spin,"twirl, whirl, tilt, bias",Synopsis,"summary, long story made short",Oligarchy,government by few,Breakable,"fragile, delicate",Keyboard,"piano, synthesizer",,
Spin,"turn in a circle quickly, going around in a circle, can make people dizzy, blur",Synopsis,"summary, brief explanation of a longer topic, lengthy subject shortened",Oligarchy,"kingdom, ruler, royalty, not a democracy, absolute power",Breakable,"fragile, not sturdy, weak, like glass",Keyboard,"has multiple keys, can be found on a piano or an organ, black and white in color, rectangular",,
Spin,"get dizzy, amusement parks, toys, games,",Synopsis,"statement, conclusion, long story short, brief",Oligarchy,"government, power, state, law",Breakable,"glass, china, cell phones, antiques",Keyboard,"computer, touch screen, mobile device, wireless, high tech",,
Spin,"A swift whirling motion, to cause to turn round rapidly",Synopsis,"A general view, or a collection of heads or parts so arranged as to exhibit a general view of the whole, an abstract or summary of a discourse",Oligarchy,"A form of government in which the supreme power is placed in the hands of a few persons. also, those who form the ruling few.",Breakable,"capable of being broken or damaged, an article that is fragile and easily broken",Keyboard,"The whole arrangement, or one range, of the keys of an organ, typewriter, computer etc. device consisting of a set of keys on a piano or typesetting machine too",,
Spin,"going in circles, turning round and round",Synopsis,"same as, related to, interchangeable",Oligarchy,"ruled by the few, instead of one person in power its a small group who rule over the masses",Breakable,"destructible, capable of being broken, some examples would be glass and headphones",Keyboard,"a board full of keys that you press on individually for a specific result, generally refer to piano's or computer keyboards",,
Mediocre,"Average, so-so, not bad not good,",Strand,"leave helpless, a length of hair, a length of rope,",Identity,"a means of separating individuals, personality, ones name, features unique to others, a means of recognizing others",Chef,"cook, a person who prepares food, supervisor of cooks, professionally trained cook",Carbon,"gas, the base of most living organisms",,
Mediocre,"halfway, average, could have been better",Strand,"small, tiny piece, barely visible",Identity,"yourself, you, ego, who a person is, name, occupation",Chef,"cook, culinary, career, line, kitchen",Carbon,"is an element, all life forms made of it, hardens into diamonds, found all over earth",,
Mediocre,"middle of the way, okay, so-so",Strand,"piece of, a bit",Identity,"whos who, drivers license, social security number",Chef,"cook, the one preparing the food, white coat",Carbon,unknown,,
Mediocre,"describes quality, is bad, movie rating",Strand,"a piece of hair, part of a beach, a piece of DNA",Identity,"name, persona, represents a person, used to logon to computers",Chef,"cook, wears a hat, cooks food, prepares meals",Carbon,"is black, turns into diamonds, basis for life forms",,
Mediocre,"average, in the middle, not the best or highest",Strand,"single piece, thin long object,",Identity,"self, personal, individual",Chef,"cook, food preparer, griller,",Carbon,"element,",,
Mediocre,"a standard of quality that suggests no great effort was made, the effort or item is adequate but not great, not a flattering description",Strand,"Could be the section of beach where the water meets the land.
It could also mean to leave abandoned - ""stranded on a desert island""
Could also mean a section of hair.",Identity,"Who or what someone or something is, what makes up the organism.",Chef,"A cook of a higher caliber, someone who cooks wonderful, exotic dishes - better quality food therefore costing more.",Carbon,"An element that makes up most of the life forms on our planet. Also, a black sheet that allows copies to be made.",,
Mediocre,"sub standard, low, no quality",Strand,"hair, fabric, small piece",Identity,"drivers license, passport, social security, name",Chef,"food, kitchen, cook, culinary arts,",Carbon,"main chemical element, solid",,
Mediocre,"average, plain,",Strand,"thin, made of fiber , piece of larger reem",Identity,"character, personality, lifestyle, beliefs, morals",Chef,"preparer of foods, runs the kitchen, educated in culinary arts",Carbon,"element, gaseous, everywhere",,
Mediocre,"average, plain, simple, boring, not a big deal",Strand,"leave behind, abandon, neglect, forget about",Identity,"personality, uniqueness, ownership, self image",Chef,"cook, foodie, food preparer, meal planner",Carbon,"element, natural, environment, rocks, dirt",,
Mediocre,"average, so-so, not much potential",Strand,"of hair, left alone",Identity,"who you are, how you view yourself",Chef,"restaurant, food, nutrition",Carbon,"dioxide, monoxide, molecule",,
Mediocre,"Not very good, unsatisfactory, not well practiced or polished",Strand,"string, small bit as in a single hair, to leave someone on their own, abandon",Identity,"say who or what something is, choose based on specific properties",Chef,"cook, works in a restaurant, normally works in a expensive or high class restaurant, runs the kitchen",Carbon,"is an element, exists in our air, normally exists in a gaseous state",,
Mediocre,"middling, just getting by, not impressive",Strand,"hair, single piece, part of a whole",Identity,"license, passport, name",Chef,"cook, kitchen, culinary",Carbon,"element, chemistry, life",,
Cleaning,"to clean, tedious, not fun",Fade,"to slowly go away, to not be trendy anymore",Captain,"in charge, trained",Veteran,"honored, courageous, soldier",Charge,"money, pay later",,
Cleaning,"to straiten up, to wash, to organize.",Fade,"to age, to lose color.",Captain,"a leader, ship owner, rank in the military.",Veteran,"experienced person in a trade such as a sport, retired from the military.",Charge,"to run toward an object, to used a credit/debit card, electric current of a battery.",,
Cleaning,Cleaning means to remove dirt or debris off of an object.,Fade,Fade means to drift further away from the original object,Captain,"A captain is a leader of a ship, or team.",Veteran,A person who fought in a war or formally served in the armed forces.,Charge,Charge means to rush.,,
Cleaning,"remove dirt, tidy, orderly",Fade,"not as bright, not brilliant, to lose color",Captain,"____ america, a military position, army, navy, commander",Veteran,"someone who fought in war, military, army, marines, gets free food at fast food places",Charge,"cost, energize, one does this to a credit card or battery",,
Cleaning,"detergents, vaccum, organize",Fade,"discolor, change, age",Captain,"ship, nautical, naval, mariners",Veteran,"wars, army, navy, marines, military, benefits",Charge,"battery, credit cards",,
Cleaning,"to make something free from dirt and other things such as germs, includes acts such as washing dishes, laundry, sweeping etc.",Fade,"to slowly disappear, become less visible",Captain,"person in charge, like the captain of a ship or a sports team",Veteran,"Someone who has been through an experience and survived, most commonly used in conjunction with war veterans",Charge,"to place a fee on an object that is being sold, could also mean like an electrical charge",,
Cleaning,"Removing impurities, the act of doing a chore,",Fade,"decrease level of brightness, gradual loss, lose color over time",Captain,"military rank, commander of a ship, lead pilot on an airliner,",Veteran,"person who has put time in, person with ample experience, military personnel with over 1 year of service",Charge,"to take a run at something or someone, make a purchase and pay at a later date",,
Cleaning,the act of making something clean,Fade,to go away slowley,Captain,the leader of a group,Veteran,a person who is been doing something for a long time,Charge,to gain momentum,,
Cleaning,"removal of dirt, to clense, removal of bacteria, to organize",Fade,"loss of color, loss of energy, dim, loss of light",Captain,"person in charge, leader, ship pilot, head of a group",Veteran,"parcipated in military, fought in a war, person with experience",Charge,"onslaught,running at an object, use of a credit card",,
Cleaning,"wiping, removing dirt, making neat",Fade,"less clear, changes color, not as bright",Captain,"leader, head of a ship, military rank",Veteran,"was in military, has experience, survivor",Charge,"cost, payment requirement, selling price",,
Cleaning,"To ensure area or product is free of dust, dirt, germs and stains by using a cleaning agent such as soap.",Fade,When an object looses its luster or becomes discolored by age,Captain,Person in charge of boat or higher ranking officer.,Veteran,Older non active soldier,Charge,To plug in item to boost power usage or  to use card to pay for item you can not afford right now but will pay off later.,,
Cleaning,"polishing, removing dirt, organizing, sanitizing, getting rid of dirt or dust or extraneous items",Fade,"lose color, become less visible, become less vivid, become paler, less memorable",Captain,"commands a boat, in command, an authority figure, airplane pilot, military figure, wears a hat",Veteran,"experienced individual, someone who has served in the military",Charge,"to use a credit card, to restore power to an item like a battery, to order someone with a task, to accuse someone of a crime, to run toward someone as in a fight",,
