Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Romance,"love, attachment, amore, marriage, dating, courting, passionate, love",Effort,"force, accomplishment, achievement, work, exertion",Dislike,"opposite of like, hate, loathe, aversion",Mousse,"kind of food, tastes chocolately normally, dessert, cold, brown",Disguise,"costume, covering, makeup or clothes, camoflauge"
Romance,tasak,Effort,nekam ja,Dislike,ovca,Mousse,abe,Disguise,sakam ja
Romance,"love, feelings, softness, tenderness, courtship",Effort,trying,Dislike,"no affinity, hate",Mousse,"foamy, fluffy",Disguise,"mask, hide"
Romance,"creates attraction, makes you excited, may lead to marriage, gets used in movies and books, gets celebrated on Valentines Day",Effort,"requires mental or physical activity, may make you sweat, is usually required to get results, it's something an employer is likely to expect, may be considered by teachers in grading",Dislike,"it's a feeling of antipathy, makes you want to avoid the object, creates tension, leads to hostility",Mousse,"it's a dessert, it's a hair product, it has a foamy texture, it's whipped, it's full of air",Disguise,"it conceals something else, it's used by undercover agents, it keeps people from knowing who you really are, it covers up your true features"
Romance,"love, wedding, engagement",Effort,"work, attention, time-consuming task",Dislike,"detest, repelling, distasteful",Mousse,"souffle, pudding, rich dessert",Disguise,"fake appearance, mask, masquerade dress"
Romance,"Love,Lust,connection,relationship,passion",Effort,"Trying,persevering,enduring",Dislike,"unsatisfying,Dont Agree,Unhappy",Mousse,"whipped,chilled,light",Disguise,"Hidden,incognito,Diffrent"
Romance,"Love, couple, cupid",Effort,"hard, personal",Dislike,"feeling, negative",Mousse,"hair product, dessert, soft, fluffy, food",Disguise,"costume, halloween, detective"
Romance,"Love, endearment, emotion, long involvement",Effort,"Physical and mental power, achievement, a great attempt",Dislike,"A feeling of aversion, animosity or hatred towards something",Mousse,"Light fluffy dessert, whipped egg whites or whipped cream",Disguise,"Incognito, change your appearance"
Romance,"woo, court, kindle a relationship,",Effort,"give a try, attempt something,",Dislike,"ill feelings toward someone, not fond of,",Mousse,"thick substance for styling hair, a pudding like dessert",Disguise,"change ones appearance, alter the true characteristics of something"
Romance,what a girl wants,Effort,to try hard,Dislike,to hate on,Mousse,a fury nasty animal,Disguise,something someone wheres to not be noticed
Romance,"Sexy, Cuddling, Love, Candles, Sweet, Roses, When you seduce someone",Effort,"working hard at something you want, working hard at work, putting your heart into something, striving to be the best",Dislike,"when someone doesnt like something or a product, unlike",Mousse,"a hair product women use in there hair, soft, white",Disguise,when someone dresses up as someone else
Romance,"the love in the air, typically found around girlfriends and boyfriends, oftentimes lost in marriages",Effort,"to try very hard on something, how much work you put into a task",Dislike,"to not like something, hate, loath",Mousse,"the thing attached by a wire to your computer, or the tiny creature that is sometimes cute and often the poor subject of scientists experiments",Disguise,"to pretend to be something or someone else, bad disguises include bushes, hats sunglasses, and wigs"
Goodbye,said when someone leaves a person or group,Legion,group of many,Proprietor,"owner of some establishment, building or business",Nitrogen,is a gas; is an element; found in soil; used in combination with other elements for varying uses; can be combustible in high content,Comedian,someone who is funny; does a stand up routine; has a television show or is in the movies; makes people laugh with jokes or physical activities
Goodbye,"A form of greeting. It is the opposite to ""Hello."". It is normally said when you are talking to a person or pet and you are walking away from them. It's a form of communication that lets the other person/animal know that you will be leaving them at that moment.",Legion,A group or an army of people/animals having one thing all in common. For example it could be a legion of rabbits or a legion of people against abortion.,Proprietor,The owner of an object. They paid money for something and now it is theirs.,Nitrogen,Relating to science. It is a chemical. The first thought that comes to mind when thinking of Nitrogen is Oxygen since they are both gases.,Comedian,A person that is consistently funny whether they intend to be or not. It could also relate to an animal. It could be through something said or through an action.
Goodbye,"so long, see you later, until we meet again, departing",Legion,"segment of an army, large group, many warriors",Proprietor,"CEO, owner, business, manager",Nitrogen,"particles of air, chemistry, fertilizer",Comedian,"funny man, stand-up routine, joke teller"
Goodbye,"when you leave someones house, when you get off the phone with someone",Legion,a greater number of people in a larger group together,Proprietor,the person who owns a piece of property or business,Nitrogen,"Gasic waste, can be used in a car",Comedian,"someone who makes a crowd of people laugh, somebody who tells a joke, someone who is funny"
Goodbye,Lasting words to someone. When you leave someone,Legion,A army. A large amount of people or solders.,Proprietor,Manager.  Leader,Nitrogen,"A certain type of chemistry, a certain type of air",Comedian,"someone who is funny, someone who makes you laugh"
Goodbye,See you later,Legion,A group of people within a community,Proprietor,a trader,Nitrogen,chemical element,Comedian,someone who makes people laugh
Goodbye,"Parting saying, farewell remark, what people say when leaving",Legion,"group, army, gathering of like-minded individuals with the same purpose",Proprietor,"Someone who owns a business, owner of certain item",Nitrogen,"a chemical gas, prevalent in the atmosphere",Comedian,"someone who makes people laugh, makes witty observations, good comedic timing, stand-up"
Goodbye,"a parting phrase between people, synonymous with bye, farewell etc.",Legion,"a group of soldiers, military unit",Proprietor,"the owner of a ship, shopkeeper",Nitrogen,"an element on the periodic table, is most common gas in the atmospher",Comedian,"someone who has made a job out of being funny, includes people like Kathy Griffin and Ellen DeGenerous"
Goodbye,"farewell, expression, term used when two or more people part",Legion,"large military force, numerous, squad, troops",Proprietor,"business owner, titleholder, landowner, a person with legal ownership of something",Nitrogen,"gas that is odorless and colorless, very important element on the periodic table that is found in all proteins",Comedian,"entertainer that makes people laugh, amusing person, can come in variety of forms including clown, mime, and stand-up comic."
Goodbye,"what you say when leaving, polite, opposite of greeting",Legion,"group, roman, army, a lot",Proprietor,"own business, owner, owns property,",Nitrogen,"element, gas, liquid, solid",Comedian,"dane cook, funny, cause laughter"
Goodbye,"farewell, crying,",Legion,"angels, heaven",Proprietor,"owner, inventor",Nitrogen,"chemical element, gas,",Comedian,"funny, hilarious, smiles"
Goodbye,"parting, empty, different",Legion,"army, large, many",Proprietor,"risk taker, owner, business",Nitrogen,"gas, N, element",Comedian,"funny, stand up, character"
Goodbye,"friendly, texting, hug, kiss, emotional",Legion,"armed men, army, power, big group",Proprietor,"owner, special rights, own boss",Nitrogen,"atmosphere, no odor, gas, science",Comedian,"daniel tosh, stand up, improv, laughing"
